#EXPORTTYPE:                 ,ALL                       
#FILE:                       ,¿‰’•3.ngb-sd7               
#FORMAT:                     ,NETZSCH5                  
#FTYPE:                      ,ANSI                      
#IDENTITY:                   ,3                         
#DECIMAL:                    ,POINT                     
#SEPARATOR:                  ,COMMA                     
#MTYPE:                      ,DSC                       
#INSTRUMENT:                 ,NETZSCH DSC 204F1 Phoenix 
#PROJECT:                    ,1                         
#DATE/TIME:                  ,2023/4/24 16:37:24 (UTC+8)
#CORR. FILE:                 ,                          
#TEMPCAL:                    ,applied                   
#SENSITIVITY:                ,applied                   
#LABORATORY:                 ,                          
#OPERATOR:                   ,0                         
#REMARK:                     ,                          
#SAMPLE:                     ,¿‰’•                        
#SAMPLE MASS /mg:            ,8.79                      
#MATERIAL:                   ,                          
#REFERENCE:                  ,                          
#REFERENCE MASS /mg:         ,0                         
#TYPE OF CRUCIBLE:           ,Concavus Pan Al, open     
#SAMPLE CRUCIBLE MASS /mg:   ,0                         
#REFERENCE CRUCIBLE MASS /mg:,0                         
#M.RANGE /¶ÃV:                ,5000                      
#TAU-R:                      ,---                       
#CORR. CODE:                 ,000                       
#EXO:                        ,+1                        
#RANGE:                      ,20°„C/10.0(K/min)/120°„C    
#SEGMENT:                    ,S1/1                      
#SEG. 1:                     ,20°„C/10.0(K/min)/120°„C    

#*RESULTS:     ,File,Segment,Result,Unit,Y_value,Unit ,Range_Xmin,Unit,Range_Xmax,Unit,Range_Ymin,Unit ,Range_Ymax,Unit 
#*Area (DSC)(o),¿‰’•3 ,1      ,-60.04,J/g ,-      ,-    ,42.9      ,°„C  ,115.3     ,°„C  ,-0.4206   ,mW/mg,-0.6201   ,mW/mg
#*Onset (DSC)  ,¿‰’•3 ,1      ,42.9  ,°„C  ,-0.3979,mW/mg,25.8      ,°„C  ,85.7      ,°„C  ,-0.3556   ,mW/mg,-0.7778   ,mW/mg
#*Peak (DSC)   ,¿‰’•3 ,1      ,89.8  ,°„C  ,-0.7817,mW/mg,25.8      ,°„C  ,102.0     ,°„C  ,-0.3556   ,mW/mg,-0.7388   ,mW/mg
#*End (DSC)    ,¿‰’•3 ,1      ,115.3 ,°„C  ,-0.6201,mW/mg,90.5      ,°„C  ,119.8     ,°„C  ,-0.7813   ,mW/mg,-0.5747   ,mW/mg

##Temp./°„C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
  7.84000,0.00000, 6.775169e-002,3.29862,1
  7.83833,0.00333, 6.575244e-002,3.29862,0
  7.83640,0.00667, 6.377925e-002,3.29862,0
  7.83486,0.01000, 6.178027e-002,3.29862,0
  7.83333,0.01333, 5.985970e-002,3.29862,0
  7.83209,0.01667, 5.788650e-002,3.29862,0
  7.83131,0.02000, 5.591357e-002,3.29862,0
  7.83093,0.02333, 5.409852e-002,3.29862,0
  7.83153,0.02667, 5.228293e-002,3.29862,0
  7.83326,0.03000, 5.049392e-002,3.29862,0
  7.83624,0.03333, 4.870491e-002,3.29862,0
  7.84061,0.03667, 4.691563e-002,3.29862,1
  7.84656,0.04000, 4.523107e-002,3.29862,1
  7.85404,0.04333, 4.354705e-002,3.29862,1
  7.86317,0.04667, 4.181013e-002,3.29862,1
  7.87394,0.05000, 4.001978e-002,3.29862,1
  7.88633,0.05333, 3.828151e-002,3.29862,1
  7.90037,0.05667, 3.638537e-002,3.29862,1
  7.91597,0.06000, 3.417347e-002,3.29862,1
  7.93305,0.06333, 3.196077e-002,3.29862,1
  7.95159,0.06667, 2.972175e-002,3.29862,1
  7.97149,0.07000, 2.742957e-002,3.29862,1
  7.99278,0.07333, 2.492635e-002,3.29862,1
  8.01523,0.07667, 2.231761e-002,3.29862,1
  8.03890,0.08000, 1.968201e-002,3.29862,1
  8.06365,0.08333, 1.670435e-002,3.29862,1
  8.08947,0.08667, 1.377904e-002,3.29862,1
  8.11622,0.09000, 1.072164e-002,3.29862,1
  8.14388,0.09333, 7.426334e-003,3.29862,1
  8.17239,0.09667, 4.105258e-003,3.29862,1
  8.20169,0.10000, 6.786598e-004,3.29862,1
  8.22279,0.10333,-2.722164e-003,3.29862,1
  8.24459,0.10667,-6.123795e-003,3.29862,1
  8.26711,0.11000,-9.656723e-003,3.29862,1
  8.29034,0.11333,-1.324281e-002,3.29862,1
  8.31426,0.11667,-1.685549e-002,3.29862,1
  8.33889,0.12000,-2.062577e-002,3.29862,1
  8.36423,0.12333,-2.444949e-002,3.29862,1
  8.39028,0.12667,-2.829925e-002,3.29862,1
  8.41702,0.13000,-3.207061e-002,3.29862,1
  8.44446,0.13333,-3.581620e-002,3.29862,1
  8.47262,0.13667,-3.969309e-002,3.29862,1
  8.50148,0.14000,-4.354366e-002,3.29862,1
  8.53098,0.14333,-4.736899e-002,3.29862,1
  8.56120,0.14667,-5.114117e-002,3.29862,1
  8.59208,0.15000,-5.491335e-002,3.29861,1
  8.62361,0.15333,-5.868553e-002,3.29861,1
  8.65572,0.15667,-6.251141e-002,3.29861,1
  8.68844,0.16000,-6.636279e-002,3.29861,1
  8.72177,0.16333,-7.024076e-002,3.29861,1
  8.75566,0.16667,-7.404061e-002,3.29861,1
  8.79010,0.17000,-7.770861e-002,3.29861,1
  8.82507,0.17333,-8.135004e-002,3.29861,1
  8.86051,0.17667,-8.507042e-002,3.29861,1
  8.89644,0.18000,-8.876502e-002,3.29861,1
  8.93280,0.18333,-9.240698e-002,3.29861,1
  8.96962,0.18667,-9.612763e-002,3.29861,1
  9.00687,0.19000,-9.976988e-002,3.29861,1
  9.04451,0.19333,      -0.10333,3.29861,1
  9.08249,0.19667,      -0.10679,3.29861,1
  9.12084,0.20000,      -0.11025,3.29861,1
  9.15952,0.20333,      -0.11363,3.29860,1
  9.19854,0.20667,      -0.11690,3.29860,1
  9.23780,0.21000,      -0.12015,3.29860,1
  9.27736,0.21333,      -0.12348,3.29860,1
  9.31718,0.21667,      -0.12683,3.29860,1
  9.35725,0.22000,      -0.13018,3.29860,1
  9.39757,0.22333,      -0.13346,3.29860,1
  9.43808,0.22667,      -0.13657,3.29860,1
  9.47887,0.23000,      -0.13971,3.29860,1
  9.51982,0.23333,      -0.14275,3.29860,1
  9.56097,0.23667,      -0.14579,3.29860,1
  9.60228,0.24000,      -0.14877,3.29859,1
  9.64377,0.24333,      -0.15158,3.29859,1
  9.68538,0.24667,      -0.15440,3.29859,1
  9.72713,0.25000,      -0.15731,3.29859,1
  9.76905,0.25333,      -0.16014,3.29859,1
  9.81113,0.25667,      -0.16291,3.29859,1
  9.85330,0.26000,      -0.16560,3.29859,1
  9.89559,0.26333,      -0.16830,3.29859,1
  9.93800,0.26667,      -0.17100,3.29859,1
  9.98049,0.27000,      -0.17367,3.29858,1
 10.02310,0.27333,      -0.17633,3.29858,1
 10.06582,0.27667,      -0.17892,3.29858,1
 10.10866,0.28000,      -0.18141,3.29858,1
 10.15156,0.28333,      -0.18379,3.29858,1
 10.19459,0.28667,      -0.18620,3.29858,1
 10.23770,0.29000,      -0.18852,3.29858,1
 10.28089,0.29333,      -0.19082,3.29857,1
 10.32416,0.29667,      -0.19307,3.29857,1
 10.36748,0.30000,      -0.19527,3.29857,1
 10.41089,0.30333,      -0.19752,3.29857,1
 10.45438,0.30667,      -0.19969,3.29857,1
 10.49793,0.31000,      -0.20186,3.29857,1
 10.54156,0.31333,      -0.20402,3.29857,1
 10.58526,0.31667,      -0.20614,3.29856,1
 10.62903,0.32000,      -0.20823,3.29856,1
 10.67285,0.32333,      -0.21030,3.29856,1
 10.71675,0.32667,      -0.21212,3.29856,1
 10.76075,0.33000,      -0.21393,3.29856,1
 10.80482,0.33333,      -0.21575,3.29856,1
 10.84895,0.33667,      -0.21753,3.29855,1
 10.89313,0.34000,      -0.21930,3.29855,1
 10.93739,0.34333,      -0.22095,3.29855,1
 10.98170,0.34667,      -0.22270,3.29855,1
 11.02607,0.35000,      -0.22444,3.29855,1
 11.07049,0.35333,      -0.22622,3.29855,1
 11.11497,0.35667,      -0.22794,3.29854,1
 11.15952,0.36000,      -0.22961,3.29854,1
 11.20415,0.36333,      -0.23118,3.29854,1
 11.24884,0.36667,      -0.23264,3.29854,1
 11.29359,0.37000,      -0.23412,3.29854,1
 11.33839,0.37333,      -0.23558,3.29853,1
 11.38328,0.37667,      -0.23707,3.29853,1
 11.42823,0.38000,      -0.23834,3.29853,1
 11.47323,0.38333,      -0.23985,3.29853,1
 11.51831,0.38667,      -0.24137,3.29853,1
 11.56344,0.39000,      -0.24277,3.29852,1
 11.60864,0.39333,      -0.24413,3.29852,1
 11.65390,0.39667,      -0.24551,3.29852,1
 11.69921,0.40000,      -0.24686,3.29852,1
 11.74461,0.40333,      -0.24816,3.29851,1
 11.79005,0.40667,      -0.24944,3.29851,1
 11.83556,0.41000,      -0.25072,3.29851,1
 11.88116,0.41333,      -0.25199,3.29851,1
 11.92680,0.41667,      -0.25324,3.29851,1
 11.97249,0.42000,      -0.25454,3.29850,1
 12.01823,0.42333,      -0.25574,3.29850,1
 12.06405,0.42667,      -0.25683,3.29850,1
 12.10997,0.43000,      -0.25795,3.29850,1
 12.15590,0.43333,      -0.25914,3.29849,1
 12.20192,0.43667,      -0.26031,3.29849,1
 12.24793,0.44000,      -0.26146,3.29849,1
 12.29405,0.44333,      -0.26255,3.29849,1
 12.34025,0.44667,      -0.26364,3.29848,1
 12.38649,0.45000,      -0.26473,3.29848,1
 12.43282,0.45333,      -0.26577,3.29848,1
 12.47918,0.45667,      -0.26684,3.29848,1
 12.52557,0.46000,      -0.26788,3.29847,1
 12.57203,0.46333,      -0.26892,3.29847,1
 12.61856,0.46667,      -0.26993,3.29847,1
 12.66515,0.47000,      -0.27094,3.29846,1
 12.71182,0.47333,      -0.27180,3.29846,1
 12.75852,0.47667,      -0.27268,3.29846,1
 12.80528,0.48000,      -0.27356,3.29846,1
 12.85208,0.48333,      -0.27444,3.29845,1
 12.89895,0.48667,      -0.27535,3.29845,1
 12.94584,0.49000,      -0.27623,3.29845,1
 12.99279,0.49333,      -0.27714,3.29844,1
 13.03980,0.49667,      -0.27804,3.29844,1
 13.08685,0.50000,      -0.27890,3.29844,1
 13.13398,0.50333,      -0.27975,3.29844,1
 13.18115,0.50667,      -0.28061,3.29843,1
 13.22836,0.51000,      -0.28146,3.29843,1
 13.27562,0.51333,      -0.28232,3.29843,1
 13.32292,0.51667,      -0.28317,3.29842,1
 13.37026,0.52000,      -0.28400,3.29842,1
 13.41767,0.52333,      -0.28475,3.29842,1
 13.46515,0.52667,      -0.28553,3.29841,1
 13.51266,0.53000,      -0.28628,3.29841,1
 13.56016,0.53333,      -0.28698,3.29841,1
 13.60774,0.53667,      -0.28770,3.29840,1
 13.65534,0.54000,      -0.28842,3.29840,1
 13.70302,0.54333,      -0.28915,3.29840,1
 13.75072,0.54667,      -0.28977,3.29839,1
 13.79849,0.55000,      -0.29028,3.29839,1
 13.84630,0.55333,      -0.29084,3.29839,1
 13.89415,0.55667,      -0.29149,3.29838,1
 13.94203,0.56000,      -0.29216,3.29838,1
 13.98993,0.56333,      -0.29286,3.29838,1
 14.03789,0.56667,      -0.29358,3.29837,1
 14.08587,0.57000,      -0.29433,3.29837,1
 14.13389,0.57333,      -0.29503,3.29837,1
 14.18195,0.57667,      -0.29570,3.29836,1
 14.23003,0.58000,      -0.29634,3.29836,1
 14.27816,0.58333,      -0.29702,3.29835,1
 14.32634,0.58667,      -0.29766,3.29835,1
 14.37454,0.59000,      -0.29833,3.29835,1
 14.42279,0.59333,      -0.29898,3.29834,1
 14.47105,0.59667,      -0.29957,3.29834,1
 14.51934,0.60000,      -0.30008,3.29834,1
 14.56770,0.60333,      -0.30067,3.29833,1
 14.61605,0.60667,      -0.30129,3.29833,1
 14.66448,0.61000,      -0.30191,3.29832,1
 14.71290,0.61333,      -0.30256,3.29832,1
 14.76138,0.61667,      -0.30315,3.29832,1
 14.80987,0.62000,      -0.30374,3.29831,1
 14.85839,0.62333,      -0.30431,3.29831,1
 14.90697,0.62667,      -0.30479,3.29830,1
 14.95554,0.63000,      -0.30526,3.29830,1
 15.00411,0.63333,      -0.30577,3.29830,1
 15.05272,0.63667,      -0.30628,3.29829,1
 15.10136,0.64000,      -0.30680,3.29829,1
 15.15005,0.64333,      -0.30734,3.29828,1
 15.19875,0.64667,      -0.30788,3.29828,1
 15.24746,0.65000,      -0.30839,3.29828,1
 15.29620,0.65333,      -0.30890,3.29827,1
 15.34495,0.65667,      -0.30931,3.29827,1
 15.39374,0.66000,      -0.30977,3.29826,1
 15.44259,0.66333,      -0.31018,3.29826,1
 15.49144,0.66667,      -0.31064,3.29825,1
 15.54033,0.67000,      -0.31110,3.29825,1
 15.58923,0.67333,      -0.31162,3.29824,1
 15.63810,0.67667,      -0.31213,3.29824,1
 15.68700,0.68000,      -0.31264,3.29824,1
 15.73592,0.68333,      -0.31313,3.29823,1
 15.78487,0.68667,      -0.31362,3.29823,1
 15.83384,0.69000,      -0.31408,3.29822,1
 15.88282,0.69333,      -0.31451,3.29822,1
 15.93184,0.69667,      -0.31497,3.29821,1
 15.98087,0.70000,      -0.31541,3.29821,1
 16.02989,0.70333,      -0.31587,3.29820,1
 16.07890,0.70667,      -0.31630,3.29820,1
 16.12797,0.71000,      -0.31666,3.29819,1
 16.17703,0.71333,      -0.31696,3.29819,1
 16.22615,0.71667,      -0.31732,3.29818,1
 16.27530,0.72000,      -0.31775,3.29818,1
 16.32441,0.72333,      -0.31816,3.29817,1
 16.37354,0.72667,      -0.31855,3.29817,1
 16.42270,0.73000,      -0.31898,3.29816,1
 16.47185,0.73333,      -0.31944,3.29816,1
 16.52105,0.73667,      -0.31988,3.29815,1
 16.57025,0.74000,      -0.32028,3.29815,1
 16.61946,0.74333,      -0.32072,3.29814,1
 16.66866,0.74667,      -0.32110,3.29814,1
 16.71787,0.75000,      -0.32148,3.29813,1
 16.76707,0.75333,      -0.32187,3.29813,1
 16.81630,0.75667,      -0.32217,3.29812,1
 16.86556,0.76000,      -0.32247,3.29812,1
 16.91484,0.76333,      -0.32278,3.29811,1
 16.96413,0.76667,      -0.32313,3.29811,1
 17.01343,0.77000,      -0.32351,3.29810,1
 17.06272,0.77333,      -0.32390,3.29810,1
 17.11202,0.77667,      -0.32423,3.29809,1
 17.16131,0.78000,      -0.32458,3.29809,1
 17.21061,0.78333,      -0.32494,3.29808,1
 17.25992,0.78667,      -0.32529,3.29808,1
 17.30923,0.79000,      -0.32562,3.29807,1
 17.35856,0.79333,      -0.32598,3.29807,1
 17.40787,0.79667,      -0.32633,3.29806,1
 17.45721,0.80000,      -0.32661,3.29806,1
 17.50656,0.80333,      -0.32691,3.29805,1
 17.55589,0.80667,      -0.32722,3.29804,1
 17.60523,0.81000,      -0.32755,3.29804,1
 17.65452,0.81333,      -0.32788,3.29803,1
 17.70385,0.81667,      -0.32818,3.29803,1
 17.75315,0.82000,      -0.32841,3.29802,1
 17.80249,0.82333,      -0.32866,3.29802,1
 17.85184,0.82667,      -0.32893,3.29801,1
 17.90120,0.83000,      -0.32926,3.29800,1
 17.95054,0.83333,      -0.32957,3.29800,1
 17.99992,0.83667,      -0.32987,3.29799,1
 18.04926,0.84000,      -0.33012,3.29799,1
 18.09861,0.84333,      -0.33040,3.29798,1
 18.14795,0.84667,      -0.33067,3.29797,1
 18.19730,0.85000,      -0.33095,3.29797,1
 18.24664,0.85333,      -0.33123,3.29796,1
 18.29597,0.85667,      -0.33151,3.29796,1
 18.34531,0.86000,      -0.33178,3.29795,1
 18.39466,0.86333,      -0.33209,3.29795,1
 18.44397,0.86667,      -0.33236,3.29794,1
 18.49330,0.87000,      -0.33264,3.29793,1
 18.54261,0.87333,      -0.33289,3.29793,1
 18.59192,0.87667,      -0.33309,3.29792,1
 18.64125,0.88000,      -0.33316,3.29792,1
 18.69056,0.88333,      -0.33327,3.29791,1
 18.73985,0.88667,      -0.33363,3.29790,1
 18.78915,0.89000,      -0.33401,3.29790,1
 18.83846,0.89333,      -0.33429,3.29789,1
 18.88775,0.89667,      -0.33454,3.29788,1
 18.93705,0.90000,      -0.33479,3.29788,1
 18.98630,0.90333,      -0.33512,3.29787,1
 19.03559,0.90667,      -0.33537,3.29786,1
 19.08492,0.91000,      -0.33552,3.29786,1
 19.13420,0.91333,      -0.33572,3.29785,1
 19.18348,0.91667,      -0.33599,3.29785,1
 19.23272,0.92000,      -0.33624,3.29784,1
 19.28190,0.92333,      -0.33644,3.29783,1
 19.33113,0.92667,      -0.33667,3.29783,1
 19.38038,0.93000,      -0.33689,3.29782,1
 19.42959,0.93333,      -0.33714,3.29781,1
 19.47880,0.93667,      -0.33737,3.29781,1
 19.52798,0.94000,      -0.33762,3.29780,1
 19.57716,0.94333,      -0.33784,3.29779,1
 19.62634,0.94667,      -0.33801,3.29779,1
 19.67552,0.95000,      -0.33821,3.29778,1
 19.72469,0.95333,      -0.33844,3.29777,1
 19.77385,0.95667,      -0.33861,3.29777,1
 19.82302,0.96000,      -0.33883,3.29776,1
 19.87213,0.96333,      -0.33893,3.29775,1
 19.92121,0.96667,      -0.33907,3.29775,1
 19.97030,0.97000,      -0.33924,3.29774,1
 20.01936,0.97333,      -0.33947,3.29773,1
 20.06843,0.97667,      -0.33972,3.29773,1
 20.11748,0.98000,      -0.33994,3.29772,1
 20.16651,0.98333,      -0.34014,3.29771,1
 20.21552,0.98667,      -0.34036,3.29771,1
 20.26456,0.99000,      -0.34056,3.29770,1
 20.31357,0.99333,      -0.34079,3.29769,1
 20.36256,0.99667,      -0.34093,3.29768,1
 20.41154,1.00000,      -0.34111,3.29768,1
 20.46052,1.00333,      -0.34128,3.29767,1
 20.50951,1.00667,      -0.34145,3.29766,1
 20.55846,1.01000,      -0.34165,3.29766,1
 20.60741,1.01333,      -0.34182,3.29765,1
 20.65638,1.01667,      -0.34202,3.29764,1
 20.70533,1.02000,      -0.34224,3.29763,1
 20.75426,1.02333,      -0.34241,3.29763,1
 20.80318,1.02667,      -0.34256,3.29762,1
 20.85208,1.03000,      -0.34270,3.29761,1
 20.90093,1.03333,      -0.34288,3.29761,1
 20.94980,1.03667,      -0.34307,3.29760,1
 20.99866,1.04000,      -0.34322,3.29759,1
 21.04752,1.04333,      -0.34331,3.29758,1
 21.09636,1.04667,      -0.34338,3.29758,1
 21.14520,1.05000,      -0.34345,3.29757,1
 21.19400,1.05333,      -0.34354,3.29756,1
 21.24280,1.05667,      -0.34366,3.29755,1
 21.29161,1.06000,      -0.34380,3.29755,1
 21.34036,1.06333,      -0.34400,3.29754,1
 21.38911,1.06667,      -0.34420,3.29753,1
 21.43782,1.07000,      -0.34440,3.29752,1
 21.48652,1.07333,      -0.34452,3.29752,1
 21.53520,1.07667,      -0.34469,3.29751,1
 21.58384,1.08000,      -0.34486,3.29750,1
 21.63249,1.08333,      -0.34503,3.29749,1
 21.68111,1.08667,      -0.34520,3.29749,1
 21.72975,1.09000,      -0.34540,3.29748,1
 21.77836,1.09333,      -0.34555,3.29747,1
 21.82697,1.09667,      -0.34569,3.29746,1
 21.87556,1.10000,      -0.34584,3.29745,1
 21.92411,1.10333,      -0.34598,3.29745,1
 21.97269,1.10667,      -0.34608,3.29744,1
 22.02121,1.11000,      -0.34614,3.29743,1
 22.06974,1.11333,      -0.34618,3.29742,1
 22.11828,1.11667,      -0.34628,3.29742,1
 22.16677,1.12000,      -0.34642,3.29741,1
 22.21523,1.12333,      -0.34657,3.29740,1
 22.26370,1.12667,      -0.34674,3.29739,1
 22.31216,1.13000,      -0.34691,3.29738,1
 22.36054,1.13333,      -0.34716,3.29738,1
 22.40892,1.13667,      -0.34736,3.29737,1
 22.45730,1.14000,      -0.34745,3.29736,1
 22.50569,1.14333,      -0.34755,3.29735,1
 22.55405,1.14667,      -0.34761,3.29734,1
 22.60239,1.15000,      -0.34773,3.29734,1
 22.65074,1.15333,      -0.34785,3.29733,1
 22.69903,1.15667,      -0.34794,3.29732,1
 22.74733,1.16000,      -0.34804,3.29731,1
 22.79557,1.16333,      -0.34816,3.29730,1
 22.84382,1.16667,      -0.34830,3.29729,1
 22.89208,1.17000,      -0.34850,3.29729,1
 22.94031,1.17333,      -0.34864,3.29728,1
 22.98852,1.17667,      -0.34879,3.29727,1
 23.03672,1.18000,      -0.34894,3.29726,1
 23.08492,1.18333,      -0.34908,3.29725,1
 23.13311,1.18667,      -0.34917,3.29724,1
 23.18133,1.19000,      -0.34927,3.29724,1
 23.22948,1.19333,      -0.34941,3.29723,1
 23.27757,1.19667,      -0.34953,3.29722,1
 23.32570,1.20000,      -0.34965,3.29721,1
 23.37380,1.20333,      -0.34974,3.29720,1
 23.42185,1.20667,      -0.34984,3.29719,1
 23.46989,1.21000,      -0.34996,3.29719,1
 23.51790,1.21333,      -0.35010,3.29718,1
 23.56592,1.21667,      -0.35025,3.29717,1
 23.61392,1.22000,      -0.35037,3.29716,1
 23.66190,1.22333,      -0.35048,3.29715,1
 23.70987,1.22667,      -0.35060,3.29714,1
 23.75780,1.23000,      -0.35075,3.29713,1
 23.80572,1.23333,      -0.35089,3.29712,1
 23.85364,1.23667,      -0.35101,3.29712,1
 23.90152,1.24000,      -0.35116,3.29711,1
 23.94938,1.24333,      -0.35130,3.29710,1
 23.99720,1.24667,      -0.35140,3.29709,1
 24.04502,1.25000,      -0.35149,3.29708,1
 24.09280,1.25333,      -0.35161,3.29707,1
 24.14057,1.25667,      -0.35173,3.29706,1
 24.18831,1.26000,      -0.35174,3.29705,1
 24.23603,1.26333,      -0.35181,3.29705,1
 24.28374,1.26667,      -0.35193,3.29704,1
 24.33143,1.27000,      -0.35205,3.29703,1
 24.37913,1.27333,      -0.35217,3.29702,1
 24.42684,1.27667,      -0.35228,3.29701,1
 24.47451,1.28000,      -0.35240,3.29700,1
 24.52216,1.28333,      -0.35255,3.29699,1
 24.56977,1.28667,      -0.35267,3.29698,1
 24.61739,1.29000,      -0.35281,3.29697,1
 24.66500,1.29333,      -0.35288,3.29697,1
 24.71257,1.29667,      -0.35300,3.29696,1
 24.76010,1.30000,      -0.35312,3.29695,1
 24.80762,1.30333,      -0.35324,3.29694,1
 24.85511,1.30667,      -0.35338,3.29693,1
 24.90259,1.31000,      -0.35358,3.29692,1
 24.95008,1.31333,      -0.35373,3.29691,1
 24.99749,1.31667,      -0.35387,3.29690,1
 25.04489,1.32000,      -0.35402,3.29689,1
 25.09230,1.32333,      -0.35411,3.29688,1
 25.13970,1.32667,      -0.35418,3.29687,1
 25.18707,1.33000,      -0.35422,3.29686,1
 25.23443,1.33333,      -0.35420,3.29686,1
 25.28177,1.33667,      -0.35424,3.29685,1
 25.32908,1.34000,      -0.35431,3.29684,1
 25.37636,1.34333,      -0.35440,3.29683,1
 25.42362,1.34667,      -0.35455,3.29682,1
 25.47084,1.35000,      -0.35467,3.29681,1
 25.51805,1.35333,      -0.35484,3.29680,1
 25.56523,1.35667,      -0.35496,3.29679,1
 25.61243,1.36000,      -0.35505,3.29678,1
 25.65957,1.36333,      -0.35517,3.29677,1
 25.70674,1.36667,      -0.35532,3.29676,1
 25.75389,1.37000,      -0.35543,3.29675,1
 25.80098,1.37333,      -0.35555,3.29674,1
 25.84807,1.37667,      -0.35567,3.29673,1
 25.89513,1.38000,      -0.35582,3.29672,1
 25.94216,1.38333,      -0.35596,3.29671,1
 25.98920,1.38667,      -0.35606,3.29670,1
 26.03618,1.39000,      -0.35607,3.29669,1
 26.08311,1.39333,      -0.35616,3.29668,1
 26.13005,1.39667,      -0.35628,3.29667,1
 26.17700,1.40000,      -0.35640,3.29666,1
 26.22390,1.40333,      -0.35652,3.29666,1
 26.27080,1.40667,      -0.35672,3.29665,1
 26.31769,1.41000,      -0.35686,3.29664,1
 26.36456,1.41333,      -0.35703,3.29663,1
 26.41143,1.41667,      -0.35718,3.29662,1
 26.45825,1.42000,      -0.35732,3.29661,1
 26.50505,1.42333,      -0.35747,3.29660,1
 26.55180,1.42667,      -0.35756,3.29659,1
 26.59854,1.43000,      -0.35766,3.29658,1
 26.64526,1.43333,      -0.35772,3.29657,1
 26.69197,1.43667,      -0.35784,3.29656,1
 26.73866,1.44000,      -0.35793,3.29655,1
 26.78534,1.44333,      -0.35803,3.29654,1
 26.83200,1.44667,      -0.35809,3.29653,1
 26.87864,1.45000,      -0.35818,3.29652,1
 26.92525,1.45333,      -0.35828,3.29651,1
 26.97182,1.45667,      -0.35837,3.29650,1
 27.01838,1.46000,      -0.35846,3.29649,1
 27.06493,1.46333,      -0.35855,3.29648,1
 27.11148,1.46667,      -0.35865,3.29647,1
 27.15802,1.47000,      -0.35877,3.29646,1
 27.20448,1.47333,      -0.35889,3.29645,1
 27.25093,1.47667,      -0.35900,3.29644,1
 27.29736,1.48000,      -0.35912,3.29643,1
 27.34379,1.48333,      -0.35924,3.29642,1
 27.39020,1.48667,      -0.35936,3.29641,1
 27.43659,1.49000,      -0.35948,3.29640,1
 27.48295,1.49333,      -0.35960,3.29639,1
 27.52926,1.49667,      -0.35974,3.29638,1
 27.57559,1.50000,      -0.35984,3.29636,1
 27.62189,1.50333,      -0.35996,3.29635,1
 27.66813,1.50667,      -0.36008,3.29634,1
 27.71438,1.51000,      -0.36017,3.29633,1
 27.76059,1.51333,      -0.36018,3.29632,1
 27.80677,1.51667,      -0.36025,3.29631,1
 27.85293,1.52000,      -0.36031,3.29630,1
 27.89905,1.52333,      -0.36041,3.29629,1
 27.94516,1.52667,      -0.36050,3.29628,1
 27.99126,1.53000,      -0.36064,3.29627,1
 28.03734,1.53333,      -0.36079,3.29626,1
 28.08339,1.53667,      -0.36093,3.29625,1
 28.12944,1.54000,      -0.36111,3.29624,1
 28.17548,1.54333,      -0.36117,3.29623,1
 28.22151,1.54667,      -0.36121,3.29622,1
 28.26751,1.55000,      -0.36123,3.29621,1
 28.31349,1.55333,      -0.36132,3.29620,1
 28.35943,1.55667,      -0.36141,3.29619,1
 28.40534,1.56000,      -0.36150,3.29618,1
 28.45125,1.56333,      -0.36165,3.29617,1
 28.49711,1.56667,      -0.36177,3.29616,1
 28.54295,1.57000,      -0.36189,3.29614,1
 28.58877,1.57333,      -0.36203,3.29613,1
 28.63457,1.57667,      -0.36218,3.29612,1
 28.68036,1.58000,      -0.36232,3.29611,1
 28.72613,1.58333,      -0.36247,3.29610,1
 28.77189,1.58667,      -0.36261,3.29609,1
 28.81759,1.59000,      -0.36273,3.29608,1
 28.86328,1.59333,      -0.36277,3.29607,1
 28.90895,1.59667,      -0.36276,3.29606,1
 28.95459,1.60000,      -0.36272,3.29605,1
 29.00020,1.60333,      -0.36273,3.29604,1
 29.04579,1.60667,      -0.36280,3.29603,1
 29.09134,1.61000,      -0.36300,3.29602,1
 29.13689,1.61333,      -0.36314,3.29600,1
 29.18239,1.61667,      -0.36329,3.29599,1
 29.22785,1.62000,      -0.36351,3.29598,1
 29.27333,1.62333,      -0.36363,3.29597,1
 29.31877,1.62667,      -0.36375,3.29596,1
 29.36421,1.63000,      -0.36387,3.29595,1
 29.40964,1.63333,      -0.36401,3.29594,1
 29.45502,1.63667,      -0.36421,3.29593,1
 29.50039,1.64000,      -0.36438,3.29592,1
 29.54574,1.64333,      -0.36455,3.29591,1
 29.59102,1.64667,      -0.36467,3.29589,1
 29.63633,1.65000,      -0.36479,3.29588,1
 29.68159,1.65333,      -0.36483,3.29587,1
 29.72682,1.65667,      -0.36482,3.29586,1
 29.77207,1.66000,      -0.36483,3.29585,1
 29.81730,1.66333,      -0.36487,3.29584,1
 29.86248,1.66667,      -0.36494,3.29583,1
 29.90762,1.67000,      -0.36505,3.29582,1
 29.95274,1.67333,      -0.36517,3.29581,1
 29.99787,1.67667,      -0.36537,3.29579,1
 30.04295,1.68000,      -0.36549,3.29578,1
 30.08798,1.68333,      -0.36558,3.29577,1
 30.13302,1.68667,      -0.36562,3.29576,1
